id,created_at,changed_at,user,batch,credits,state,type
29684,2025-03-27 15:35:43.545495+00:00,2025-04-03 07:24:14.168794+00:00,STUD29708,293,506,PAID,MONEY
29683,2025-03-27 15:35:35.297651+00:00,2025-04-03 07:24:14.275276+00:00,STUD25982,293,506,PAID,MONEY
29682,2025-03-27 15:35:27.248794+00:00,2025-04-03 07:24:14.370509+00:00,STUD1465,293,1270,PAID,MONEY
29681,2025-03-27 15:09:35.439523+00:00,2025-04-03 07:24:14.468782+00:00,STUD87477,293,506,PAID,MONEY
29680,2025-03-27 15:08:59.989416+00:00,2025-04-03 07:24:14.573670+00:00,STUD56907,293,505,PAID,MONEY
29679,2025-03-27 15:02:39.300682+00:00,2025-04-03 07:24:14.667875+00:00,STUD93610,293,506,PAID,MONEY
29678,2025-03-27 14:52:24.988556+00:00,2025-04-03 07:24:14.754571+00:00,STUD77435,293,519,PAID,MONEY
29677,2025-03-27 14:49:59.676838+00:00,2025-04-03 07:24:14.848486+00:00,STUD61272,293,510,PAID,MONEY
29676,2025-03-27 14:32:56.663704+00:00,2025-04-03 07:24:14.937876+00:00,STUD80220,293,505,PAID,MONEY
29675,2025-03-27 14:24:22.079073+00:00,2025-04-03 07:24:15.024846+00:00,STUD57523,293,1083,PAID,MONEY
29674,2025-03-27 14:22:57.667922+00:00,2025-04-03 07:24:15.110375+00:00,STUD93067,293,1000,PAID,MONEY
29673,2025-03-27 14:18:48.243766+00:00,2025-04-03 07:24:15.190086+00:00,STUD83170,293,507,PAID,MONEY
29672,2025-03-27 14:15:33.735504+00:00,2025-04-03 07:24:15.276714+00:00,STUD7516,293,553,PAID,MONEY
29671,2025-03-27 14:04:44.705579+00:00,2025-04-03 07:24:15.367853+00:00,STUD11213,293,507,PAID,MONEY
29670,2025-03-27 13:43:46.057896+00:00,2025-04-03 07:24:15.453150+00:00,STUD79227,293,505,PAID,MONEY
29669,2025-03-27 13:43:37.238676+00:00,2025-04-03 07:24:15.551031+00:00,STUD90057,293,507,PAID,MONEY
29668,2025-03-27 13:37:36.031600+00:00,2025-04-03 07:24:15.650369+00:00,STUD40101,293,750,PAID,MONEY
29667,2025-03-27 13:35:25.527445+00:00,2025-04-03 07:24:15.753339+00:00,STUD91416,293,503,PAID,MONEY
29666,2025-03-27 13:31:57.379019+00:00,2025-04-03 07:24:15.879813+00:00,STUD34834,293,509,PAID,MONEY
29665,2025-03-27 13:25:17.681202+00:00,2025-04-03 07:24:15.973751+00:00,STUD43690,293,503,PAID,MONEY
29664,2025-03-27 13:20:13.942823+00:00,2025-04-03 07:24:16.079660+00:00,STUD87611,293,501,PAID,MONEY
29663,2025-03-27 13:16:04.515586+00:00,2025-04-02 08:25:53.078533+00:00,STUD64205,None,511,APPROVED,MEDICINS_SANS_FRONTIERS
29662,2025-03-27 12:59:04.659097+00:00,2025-04-03 07:24:16.201570+00:00,STUD7102,293,507,PAID,MONEY
29661,2025-03-27 12:58:19.266769+00:00,2025-04-03 07:24:16.288710+00:00,STUD4156,293,512,PAID,MONEY
29660,2025-03-27 12:57:16.299190+00:00,2025-04-03 07:24:16.380807+00:00,STUD61937,293,500,PAID,MONEY
29659,2025-03-27 12:55:29.779274+00:00,2025-04-03 07:24:16.468240+00:00,STUD55848,293,912,PAID,MONEY
29658,2025-03-27 12:53:04.185879+00:00,2025-04-03 07:24:16.588308+00:00,STUD75341,293,528,PAID,MONEY
29657,2025-03-27 12:52:35.607698+00:00,2025-04-03 07:24:16.781989+00:00,STUD66851,293,501,PAID,MONEY
29656,2025-03-27 12:51:50.971082+00:00,2025-04-03 07:24:16.893054+00:00,STUD92946,293,691,PAID,MONEY
29655,2025-03-27 12:51:36.806830+00:00,2025-04-03 07:24:17.009712+00:00,STUD29682,293,1055,PAID,MONEY
29654,2025-03-27 12:50:13.889675+00:00,2025-04-03 07:24:17.123307+00:00,STUD12661,293,510,PAID,MONEY
29653,2025-03-27 12:50:06.006653+00:00,2025-04-03 07:24:17.237333+00:00,STUD79083,293,502,PAID,MONEY
29652,2025-03-27 12:49:56.507449+00:00,2025-04-03 07:24:17.325364+00:00,STUD33991,293,509,PAID,MONEY
29651,2025-03-27 12:46:43.442702+00:00,2025-04-03 07:24:17.409421+00:00,STUD45669,293,506,PAID,MONEY
29650,2025-03-27 12:46:29.602707+00:00,2025-04-03 07:24:17.502400+00:00,STUD20410,293,508,PAID,MONEY
29649,2025-03-27 12:45:46.499363+00:00,2025-04-03 07:24:17.596733+00:00,STUD33906,293,507,PAID,MONEY
29648,2025-03-27 12:45:20.888261+00:00,2025-04-03 07:24:17.693054+00:00,STUD17761,293,501,PAID,MONEY
29647,2025-03-27 12:44:56.707655+00:00,2025-04-03 07:24:17.778679+00:00,STUD85242,293,503,PAID,MONEY
29646,2025-03-27 12:38:58.735895+00:00,2025-04-03 07:24:17.875935+00:00,STUD23815,293,501,PAID,MONEY
29645,2025-03-27 12:38:58.705742+00:00,2025-04-03 07:24:17.973270+00:00,STUD53586,293,500,PAID,MONEY
29644,2025-03-27 12:38:53.064803+00:00,2025-04-03 07:24:18.056346+00:00,STUD59801,293,502,PAID,MONEY
29643,2025-03-27 12:34:27.151132+00:00,2025-04-03 07:24:18.145665+00:00,STUD22575,293,511,PAID,MONEY
29642,2025-03-27 12:20:31.542853+00:00,2025-04-03 05:32:12.994887+00:00,STUD7582,None,0,CANCELLED,MONEY
29641,2025-03-27 12:17:39.999546+00:00,2025-04-03 07:24:18.263449+00:00,STUD2240,293,2042,PAID,MONEY
29640,2025-03-27 11:57:23.834468+00:00,2025-04-03 07:24:18.359125+00:00,STUD46395,293,501,PAID,MONEY
29639,2025-03-27 11:54:51.037604+00:00,2025-04-03 07:24:18.443814+00:00,STUD65429,293,503,PAID,MONEY
29638,2025-03-27 11:10:27.717774+00:00,2025-04-03 07:24:18.527704+00:00,STUD1356,293,510,PAID,MONEY
29637,2025-03-27 10:43:30.122234+00:00,2025-04-03 07:24:18.614280+00:00,STUD55732,293,511,PAID,MONEY
29636,2025-03-27 10:29:42.523879+00:00,2025-04-03 07:24:18.704775+00:00,STUD96233,293,523,PAID,MONEY
29635,2025-03-27 10:17:02.593517+00:00,2025-04-03 07:24:18.813681+00:00,STUD97814,293,720,PAID,MONEY
29634,2025-03-27 10:14:42.599983+00:00,2025-04-03 07:24:18.905222+00:00,STUD55860,293,503,PAID,MONEY
29633,2025-03-27 10:10:14.362265+00:00,2025-04-03 07:24:18.996725+00:00,STUD82991,293,500,PAID,MONEY
29632,2025-03-27 09:56:44.774347+00:00,2025-04-03 07:24:19.113567+00:00,STUD93262,293,505,PAID,MONEY
29631,2025-03-27 08:55:27.788136+00:00,2025-04-03 07:24:19.215759+00:00,STUD3125,293,741,PAID,MONEY
29630,2025-03-27 08:52:22.018540+00:00,2025-04-03 07:24:19.325016+00:00,STUD47376,293,504,PAID,MONEY
29629,2025-03-27 08:51:10.712065+00:00,2025-04-03 07:24:19.430270+00:00,STUD91184,293,501,PAID,MONEY
29628,2025-03-27 08:49:16.833778+00:00,2025-04-03 07:24:19.555877+00:00,STUD16321,293,505,PAID,MONEY
29627,2025-03-27 08:36:56.849858+00:00,2025-04-03 07:24:19.651922+00:00,STUD87939,293,504,PAID,MONEY
29626,2025-03-27 08:13:00.956257+00:00,2025-04-03 07:24:19.740514+00:00,STUD61558,293,500,PAID,MONEY
29625,2025-03-27 05:51:25.489037+00:00,2025-03-27 08:14:46.366225+00:00,STUD217,292,1096,PAID,MONEY
29624,2025-03-27 05:01:27.531243+00:00,2025-03-27 08:14:46.466571+00:00,STUD66261,292,502,PAID,MONEY
29623,2025-03-26 22:17:48.571398+00:00,2025-03-27 08:14:46.565113+00:00,STUD45219,292,536,PAID,MONEY
29622,2025-03-26 20:23:30.827655+00:00,2025-03-27 06:54:47.922876+00:00,STUD99008,None,0,CANCELLED,HANDIPET
29621,2025-03-26 20:21:09.914258+00:00,2025-03-27 08:14:46.676217+00:00,STUD29045,292,527,PAID,MONEY
29620,2025-03-26 17:43:44.865490+00:00,2025-03-27 08:14:46.782573+00:00,STUD33839,292,800,PAID,MONEY
29619,2025-03-26 17:11:28.874220+00:00,2025-03-27 06:54:52.014542+00:00,STUD84778,None,0,CANCELLED,MONEY
29618,2025-03-26 17:09:09.262518+00:00,2025-03-27 08:14:46.903555+00:00,STUD82761,292,503,PAID,MONEY
29617,2025-03-26 16:18:26.061697+00:00,2025-03-27 08:14:47.016566+00:00,STUD53975,292,508,PAID,MONEY
29616,2025-03-26 16:05:34.739557+00:00,2025-03-27 08:14:47.124465+00:00,STUD30953,292,505,PAID,MONEY
29615,2025-03-26 15:52:55.576261+00:00,2025-03-27 06:54:56.439852+00:00,STUD69726,None,0,CANCELLED,MONEY
29614,2025-03-26 15:49:20.039179+00:00,2025-03-27 08:14:47.224726+00:00,STUD1161,292,503,PAID,MONEY
29613,2025-03-26 15:43:55.095750+00:00,2025-03-27 08:14:47.356386+00:00,STUD21706,292,502,PAID,MONEY
29612,2025-03-26 15:37:34.196089+00:00,2025-03-27 08:14:47.441526+00:00,STUD30150,292,500,PAID,MONEY
29611,2025-03-26 15:00:09.031670+00:00,2025-03-27 08:06:59.591279+00:00,STUD71561,None,1340,APPROVED,MEDICINS_SANS_FRONTIERS
29610,2025-03-26 14:00:47.700842+00:00,2025-03-27 08:14:47.531154+00:00,STUD86420,292,517,PAID,MONEY
29609,2025-03-26 13:55:20.878162+00:00,2025-03-27 08:14:47.624036+00:00,STUD17521,292,502,PAID,MONEY
29608,2025-03-26 12:09:01.736511+00:00,2025-03-27 08:14:47.723407+00:00,STUD22784,292,505,PAID,MONEY
29607,2025-03-26 11:43:20.559141+00:00,2025-03-27 08:14:47.849603+00:00,STUD81452,292,506,PAID,MONEY
29606,2025-03-26 11:43:13.814802+00:00,2025-03-27 08:14:47.953837+00:00,STUD64509,292,503,PAID,MONEY
