iter	Accuracy	CrossEntropy
538	0.9743380855	0.1199254849
539	0.9745126564	0.1197252104
540	0.9745708467	0.1195032877
541	0.9747454175	0.1192898619
542	0.9747163224	0.1191870884
543	0.9748036078	0.1190739183
544	0.9750654641	0.1189467276
545	0.9751527495	0.118746132
546	0.9752982252	0.1185363943
547	0.9754146058	0.118318046
548	0.9756182717	0.1181572806
549	0.9757055572	0.1179915262
550	0.9758510329	0.1178005394
551	0.9758510329	0.1176723552
552	0.9759674134	0.1174386176
553	0.9759965086	0.1171710346
554	0.9760256037	0.1169286263
555	0.9762292697	0.1165973853
556	0.9763456503	0.1164576797
557	0.9762583649	0.1163173218
558	0.976491126	0.1160578015
559	0.9767238871	0.1158400832
560	0.976898458	0.115637297
561	0.9770439337	0.1154364728
562	0.9773639802	0.1152487535
563	0.9773639802	0.1151360619
564	0.9774803608	0.1150114141
565	0.9775385511	0.1148012797
566	0.9777131219	0.1146221004
567	0.9775967413	0.1144226599
568	0.977742217	0.1143173568
569	0.977945883	0.11409771
570	0.977742217	0.1139150342
571	0.9778004073	0.113733026
572	0.9781786442	0.1135641732
573	0.9783241199	0.1134297041
574	0.9784114053	0.1132286191
575	0.9784695956	0.1128754311
576	0.9787023567	0.1126189766
577	0.9789351178	0.1123906779
578	0.9789933081	0.1122294882
579	0.9791387838	0.1119968963
580	0.979167879	0.1118694647
581	0.9791387838	0.1116375434
582	0.9793133547	0.1114666763
583	0.9794006401	0.1113284936
584	0.9795461158	0.1111181305
585	0.9795752109	0.1110230542
586	0.9796043061	0.1107837543
587	0.9798370672	0.110601523
588	0.9798079721	0.1104529416
589	0.9799534478	0.1102862803
590	0.9799243526	0.1101056084
591	0.9799534478	0.1099389065
592	0.9801280186	0.1097218074
593	0.9803316846	0.1095612634
594	0.9804480652	0.1093448853
595	0.9805062555	0.1091906542
596	0.9805353506	0.1090209093
597	0.9807681117	0.1088854159
598	0.9808553971	0.1086240318
599	0.981029968	0.1084445333
600	0.981233634	0.1082351318
601	0.981233634	0.1081586122
602	0.9812918243	0.1080274879
603	0.9812045388	0.1079208511
604	0.9813791097	0.1077099106
605	0.9815245854	0.1075107086
606	0.9814663951	0.1072860288
607	0.9814663951	0.1071092158
608	0.9815536805	0.1069547978
609	0.9816118708	0.1067244409
610	0.9819610125	0.1065116961
611	0.9819028222	0.1063225085
612	0.9821355834	0.1060912497
613	0.9822228688	0.1059571169
614	0.9823101542	0.1058392499
615	0.9822519639	0.1057399409
616	0.9823683445	0.1056125547
617	0.9823683445	0.1054335987
618	0.9824847251	0.1052746021
619	0.9825429153	0.1050048924
620	0.982688391	0.104800442
621	0.9827465813	0.1045694246
622	0.9827756765	0.1043848114
623	0.9829211522	0.104287124
624	0.9829211522	0.1041097931
625	0.9830084376	0.1038955673
626	0.9831248182	0.1037708541
627	0.9832121036	0.1036723935
628	0.9832702939	0.1034740414
629	0.9832121036	0.1033473675
630	0.9832411987	0.1032481617
631	0.983299389	0.103090663
632	0.9833575793	0.1030271042
633	0.9834448647	0.1028426869
634	0.9836485307	0.1026063472
635	0.983706721	0.1024285007
636	0.9836485307	0.1022877683
637	0.9837940064	0.1021355547
638	0.9838812918	0.1019329898
639	0.9838521967	0.1017491461
640	0.9839394821	0.1015659703
641	0.9840849578	0.1014416205
642	0.9842013384	0.1013612804
643	0.9842013384	0.101194735
644	0.9842886238	0.101085705
645	0.9844050044	0.1009233063
646	0.9844922898	0.1008124846
647	0.9845795752	0.1006756943
648	0.9846377655	0.1005283494
649	0.9846959558	0.1003328545
650	0.9849287169	0.1001455802
651	0.9849869072	0.09999369321
652	0.9850160023	0.0997670647
653	0.9851323829	0.09956613452
654	0.9851032878	0.09943569678
655	0.9853360489	0.09928123473
656	0.9854815246	0.09911656548
657	0.9854815246	0.09896184286
658	0.9854524294	0.0988537715
659	0.9854524294	0.0987708696
660	0.9855979051	0.09865511883
661	0.9856560954	0.09856234281
662	0.9856560954	0.09840824222
663	0.9856560954	0.09828406471
664	0.9858888566	0.09811773043
665	0.9859470468	0.09795498668
666	0.9861507128	0.09774114228
667	0.9862089031	0.09757233983
668	0.9863252837	0.09739068455
669	0.986383474	0.09727190794
670	0.9864707594	0.09713703439
671	0.9866162351	0.09694060216
672	0.9866453302	0.09676085533
673	0.9867326157	0.09669340682
674	0.9867908059	0.09661313213
675	0.9868199011	0.096500323
676	0.9868780914	0.09641712357
677	0.9868780914	0.09634783028
678	0.9868489962	0.09623644517
679	0.9870235671	0.09608740119
680	0.9871690428	0.09588178713
681	0.9871981379	0.09581964949
682	0.9874018039	0.09566311546
683	0.987430899	0.09550534604
684	0.9874599942	0.09532545369
685	0.9874018039	0.09514920026
686	0.987634565	0.09499788525
687	0.9877800407	0.09487135967
688	0.9877218505	0.09470719014
689	0.9878964213	0.09456439089
690	0.9879546116	0.0943879636
691	0.9879837067	0.09423159657
692	0.9880128019	0.09409919601
693	0.9881291824	0.09391977614
694	0.9881582776	0.09377170097
695	0.988245563	0.09363205112
696	0.9883037533	0.09349205674
697	0.9883328484	0.09338449596
698	0.988449229	0.09317251728
699	0.988652895	0.09295751737
700	0.9886819901	0.09281164172
701	0.9887110852	0.09270881123
702	0.9887401804	0.09256228347
703	0.9887692755	0.09236105556
704	0.9889147512	0.09215671966
705	0.9889729415	0.09195039497
706	0.9890311318	0.09183436371
707	0.9890893221	0.09167300821
708	0.9891184172	0.09147311451
709	0.9892057026	0.09130053284
710	0.9892638929	0.09123460562
711	0.9891766075	0.09104687443
712	0.9892929881	0.0908290183
713	0.9893511784	0.09060526878
714	0.9894093686	0.09044369141
715	0.9894384638	0.09035286297
716	0.9894675589	0.09015776074
717	0.9895548443	0.09000839049
718	0.98970032	0.08983708194
719	0.9897294152	0.08967230917
720	0.9898167006	0.08959643636
721	0.9898457958	0.0894352727
722	0.9898457958	0.0893185767
723	0.9898457958	0.08918712294
724	0.9900785569	0.08900386151
725	0.9901367472	0.08889374874
726	0.9901367472	0.08869462643
727	0.9902240326	0.08856481664
728	0.9902822229	0.08841659175
729	0.9903404132	0.08826226249
730	0.9903986034	0.08814577314
731	0.9904276986	0.08801686289
732	0.9904567937	0.0878636443
733	0.9904858889	0.08773902378
734	0.9904858889	0.08762642075
735	0.9905731743	0.0875257339
736	0.99071865	0.08737222205
737	0.9906022694	0.08726736403
738	0.9906895548	0.08707467892
739	0.9906895548	0.08696801465
740	0.9907477451	0.08686275493
741	0.9906895548	0.08677136216
742	0.9907477451	0.08663645549
743	0.9907477451	0.08648779476
744	0.9908350305	0.08637402791
745	0.9908641257	0.08622507461
746	0.9909805063	0.08605425785
747	0.9910096014	0.08591459375
748	0.9910096014	0.0857280193
749	0.9911841722	0.08554485747
750	0.9912132674	0.08536253177
751	0.9913587431	0.08522639917
752	0.9913587431	0.08508691092
753	0.9914169334	0.08496480869
754	0.9914460285	0.08483002675
755	0.9914751237	0.08477692994
756	0.9915333139	0.08465686389
757	0.9917078848	0.08449684083
758	0.9917369799	0.08431710505
759	0.9916787896	0.08422697063
760	0.9917078848	0.08411576678
761	0.9917369799	0.08395925506
762	0.9918533605	0.08380259297
763	0.9918533605	0.08369472041
764	0.9917951702	0.08355613434
765	0.9918242653	0.08342152921
766	0.9918533605	0.08336500052
767	0.9918824556	0.08322173112
768	0.9919406459	0.083080402
769	0.9919697411	0.08301253371
770	0.9919988362	0.08282027567
771	0.9920279313	0.08275014672
772	0.9921152168	0.08259445074
773	0.9921443119	0.08254249149
774	0.992173407	0.0824069663
775	0.9922025022	0.08227321118
776	0.9922897876	0.08212699352
777	0.9924352633	0.08196138073
778	0.9924643585	0.08180783272
779	0.9924934536	0.08165215177
780	0.9925225487	0.08154416155
781	0.9925225487	0.08150699561
782	0.9924934536	0.08137071446
783	0.9926098342	0.08121191445
784	0.9926098342	0.08107046798
785	0.992580739	0.08096100187
786	0.9926680244	0.08076700378
787	0.9927262147	0.08059728742
788	0.992784405	0.08049485926
789	0.9928716904	0.08038092159
790	0.9928425953	0.08025409707
791	0.9929589759	0.08011946108
792	0.9929589759	0.07996602623
793	0.9930753564	0.07984754955
794	0.9930462613	0.07972031786
795	0.9930462613	0.07953873106
796	0.9931626418	0.07943601729
797	0.9933081175	0.0792175017
798	0.9934244981	0.07904627071
799	0.9934244981	0.07893756946
800	0.993395403	0.07883855977
801	0.9934826884	0.07868818725
802	0.9934826884	0.07857479006
803	0.9934826884	0.07841194833
804	0.9935408787	0.07831500367
805	0.9935408787	0.07818394294
806	0.9937445447	0.07801137867
