table_source,attibute,description,question,,,,,,,
PAYMENTS,id,,,,,,,,,
,created_at,,,,,,,,,Don't use in model
,changed_at,,,,,,,,,Use in model
,user,,,,,,,,,Don't understand
,batch,,,,,,,,,
,credits_x,,,,,,,,,
,state,,,,,,,,,
,type,,,,,,,,,
CREDITS,credits_y,,,,,,,,,
,is_active,,,,,,,,,
,is_verified,,,,,,,,,
,is_locked,,,,,,,,,
,wage,,,,,,,,,
,user_id,,,,,,,,,
ATLAS CECHU,all_intro-2022,,,,,,,,,
,atlas_vzorek-2023,,,,,,,,,
,atlas_vzorek-2024,,,,,,,,,
,all_intro-trendaro_panel_all,,,,,,,,,
,sex-woman,,,,,,,,,
,sex-man,,,,,,,,,
,age-15_17,,,,,,,,,
,age-18_24,,,,,,,,,
,age-25_34,,,,,,,,,
,age-35_44,,,,,,,,,
,age-45_54,,,,,,,,,
,age-55_64,,,,,,,,,
,age-65_plus,,,,,,,,,
,majetek-up2halfmio,,,,,,,,,
,majetek-up5mio,,,,,,,,,
,majetek-plus5mio,,,,,,,,,
,ea-student_all,,,,,,,,,
,ea-maternity_leave_all,,,,,,,,,
,ea-unemployed_all,,,,,,,,,
,ea-pensioner_all,,,,,,,,,
,ea-employee,,,,,,,,,
,ea-osvc_own_firm,,,,,,,,,
,ea-osvc,,,,,,,,,
,ea-own_firm,,,,,,,,,
,job_time_new-fulltime,,,,,,,,,
,job_time_new-parttime,,,,,,,,,
,job_time_new-no_job,,,,,,,,,
,job_institution-firm,,,,,,,,,
,job_institution-public,,,,,,,,,
,job_institution-nonprofit,,,,,,,,,
,manual-profession,,,,,,,,,
,intel-profession,,,,,,,,,
,subordinate-none,,,,,,,,,
,subordinate-has,,,,,,,,,
,job-junior,,,,,,,,,
,job-leader,,,,,,,,,
,new_job-no,,,,,,,,,
,new_job-good_offer,,,,,,,,,
,new_job-searching,,,,,,,,,
,finding_job-hard,,,,,,,,,
,finding_job-easy,,,,,,,,,
,commuting-car,,,,,,,,,
,commuting-bus_train,,,,,,,,,
,commuting-bike,,,,,,,,,
,commuting-on_foot,,,,,,,,,
,work-team,,,,,,,,,
,work-alone,,,,,,,,,
,aim_stay_abroad-job,,,,,,,,,
,internet_tools-linked_in,,,,,,,,,
,job_time_new-less,,,,,,,,,
,previous_job-employee,,,,,,,,,
,previous_job-osvc,,,,,,,,,
,previous_job-own_firm,,,,,,,,,
,previous_job-none,,,,,,,,,
,home_office-now,,,,,,,,,
,home_office-regular,,,,,,,,,
,home_office-occasional,,,,,,,,,
,home_office-never,,,,,,,,,
,company_size-garage,,,,,,,,,
,company_size-small,,,,,,,,,
,company_size-medium,,,,,,,,,
,company_size-big,,,,,,,,,
,company_size-huge,,,,,,,,,
,kvalifikace-vs,,,,,,,,,
,kvalifikace-ss,,,,,,,,,
,kvalifikace-vyucni,,,,,,,,,
,kvalifikace-praxe,,,,,,,,,
,kvalifikace-kurz,,,,,,,,,
,kvalifikace-none,,,,,,,,,
,job-low_industry,,,,,,,,,
,job-salesman,,,,,,,,,
,job-finance,,,,,,,,,
,job-high_industry,,,,,,,,,
,job-building,,,,,,,,,
,job-transport,,,,,,,,,
,job-handyman,,,,,,,,,
,job-medical_social,,,,,,,,,
,job-it,,,,,,,,,
,job-gastro_travel,,,,,,,,,
,job-law,,,,,,,,,
,job-mkt_admin,,,,,,,,,
,job-edu_science,,,,,,,,,
,job-culture,,,,,,,,,
,job-forces,,,,,,,,,
,job-other,,,,,,,,,
,job-rote,,,,,,,,,
,job-new_issue,,,,,,,,,
,aim_stay_abroad-study,,,,,,,,,
,stay_abroad-ne,,,,,,,,,
,stay_abroad-ano,,,,,,,,,
,aim_stay_abroad-childhood,,,,,,,,,
,satisfaction_life-no,,,,,,,,,
,satisfaction_life-yes,,,,,,,,,
,satisfaction_money-no,,,,,,,,,
,satisfaction_money-yes,,,,,,,,,
,satisfaction_relationships-no,,,,,,,,,
,satisfaction_relationships-yes,,,,,,,,,
,business_satisfaction-no,,,,,,,,,
,business_satisfaction-yes,,,,,,,,,
,goldies_oldies-oldtime_lovers,,,,,,,,,
,goldies_oldies-cant_say,,,,,,,,,
,goldies_oldies-now_is_better,,,,,,,,,
,luck-bad_luck,,,,,,,,,
,luck-lucky_enough,,,,,,,,,
,satisfaction_life_in_CZ-no,,,,,,,,,
,satisfaction_life_in_CZ-yes,,,,,,,,,
,municipality_problems-passive,,,,,,,,,
,municipality_problems-active,,,,,,,,,
,country_problems-passive,,,,,,,,,
,country_problems-active,,,,,,,,,
,world_problems-passive,,,,,,,,,
,world_problems-active,,,,,,,,,
,car-image,,,,,,,,,
,car-transport,,,,,,,,,
,worse-stress,,,,,,,,,
,worse-routine,,,,,,,,,
,fulfillment-money,,,,,,,,,
,fulfillment-meaning,,,,,,,,,
,physical_punishment-none,,,,,,,,,
,physical_punishment-depends,,,,,,,,,
,violence-self_defense,,,,,,,,,
,violence-other,,,,,,,,,
,homosexuality-no_tolerance,,,,,,,,,
,homosexuality-no_adoption,,,,,,,,,
,homosexuality-marriage_adoption,,,,,,,,,
,rape_responsibility-none,,,,,,,,,
,rape_responsibility-yes,,,,,,,,,
,agency_structure-agency,,,,,,,,,
,agency_structure-structure,,,,,,,,,
,charity-no,,,,,,,,,
,charity-yes,,,,,,,,,
,my_childs_study-make_living,,,,,,,,,
,my_childs_study-fulfillment,,,,,,,,,
,security_feeling-no,,,,,,,,,
,security_feeling-yes,,,,,,,,,
,security-no_cameras,,,,,,,,,
,security-yes_cameras,,,,,,,,,
,country_future-foreign_affairs,,,,,,,,,
,country_future-interior_problems,,,,,,,,,
,elections_2021-yes_elections,,,,,,,,,
,elected_2021-nevoli,,,,,,,,,
,elected_2021-kscm,,,,,,,,,
,elected_2021-cssd,,,,,,,,,
,elected_2021-prisaha,,,,,,,,,
,elected_2021-other,,,,,,,,,
,elected_2021-nevi,,,,,,,,,
,religion-one_god,,,,,,,,,
,religion-deities,,,,,,,,,
,religion-something_above_us,,,,,,,,,
,religion-not_important,,,,,,,,,
,religion-nothing_above_us,,,,,,,,,
,household_care-woman,,,,,,,,,
,household_care-man,,,,,,,,,
,household_care-equally,,,,,,,,,
,household_division-natural_division,,,,,,,,,
,household_division-agreement,,,,,,,,,
,breadwinner-woman,,,,,,,,,
,breadwinner-man,,,,,,,,,
,breadwinner-equally,,,,,,,,,
,kids_fulfillment-yes,,,,,,,,,
,kids_fulfillment-no,,,,,,,,,
,chinese_medicine-chinese_prefer,,,,,,,,,
,chinese_medicine-supplement,,,,,,,,,
,chinese_medicine-unreal,,,,,,,,,
,vaccination-vaccination_ok,,,,,,,,,
,vaccination-vaccination_needed,,,,,,,,,
